//id, del, team_id, Team Name, League Name, LastName, FirstName, NickName, UniformNumber, DayOB, MonthOB, YearOB, NationalityID, Nation, CityID, City, facial_type, Height (cm), Weight (kg), Bats, Throws, Position, ML Service, 40 man roster service, pro years, options used, Contact vL, Gap vL, Power vL, Eye vL, Avoid K vL, BABIP vL, Contract Vr, Gap Vr, Power vR, Eye vR, Ks vR, BABIP vR, Contact Pot, Gap Pot, Power Pot, Eye Pot, Ks Pot, BABIP Pot, HBP, GB Batter type, FB Batter type, speed, steal rate, steal, running, sac bunt, bunt hit,Move vL, Control vL, Movement vR, Control vR, Move Pot, Control Pot, HBP, WP, Balk, Stamina, Hold, GB%, Velocity, ArmSlot, Infield Range, Infield Error, Infield Arm, DP, CatcherAbil, Catcher Arm, OF Range, OF Error, OF Arm, PExp, CExp, 1bExp, 2bExp, 3bExp, ssExp, LFExp, CFExp, RFExp, use expected, expected level, expected ab, expected avg, expected 2b, expected 3b, expected hr, expected bb, expected k, expected hbp, contract y1, contract y2, contract y3, contract y4, contract y5, contract y6, contract y7, contract y8, contract y9, contract y10, contract current year (0 = first year), extension y1, extension y2, extension y3, extension y4, extension y5, extension y6, extension y7, extension y8, extension y9, extension y10, greed, loyalty, play_for_winner, work_ethic, intelligence, leader ability, Stuff Overall, Stuff R/L split, Stuff Pot., Fastball (scale: 0-5), Slider, Curveball, Changeup, Cutter, Sinker, Splitter, Forkball, Screwball, Circlechange, Knucklecurve, Knuckleball, Fastball Pot.(scale: 0-5), Slider Pot., Curveball Pot., Changeup Pot., Cutter Pot., Sinker Pot., Splitter Pot., Forkball Pot., Screwball Pot., Circlechange Pot., Knucklecurve Pot., Knuckleball Pot., Hitter 3B/2B ratio, pbabip, lahman_id, bbref_id, bbrefminors_id, twitter_handle, Catcher Framing, Velo Pot,
61,0,2,New York Legends,Baseline League,Gibbs,Jared,,25,24,8,1998,206,The United States,20678,Dillon,4,189,200,1,1,13,0,0,0,0,20,1,1,1,1,1,20,1,1,1,1,1,20,1,1,1,1,1,3,0,1,18,26,31,8,100,100,285,369,285,369,285,369,5,3,1,100,30,54,10,3,50,50,50,50,1,1,1,1,1,200,200,200,200,200,200,200,200,200,0,1,550,0.255,0,0,26,52,141,5,3400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,1,384,402,400,400,400,0,0,0,0,0,0,0,0,402,400,400,400,0,0,0,0,0,0,0,0,0,102,,,,,10,10,eol
50,0,16,Columbus Bears,Baseline League,Snyder,Scott,,23,7,11,1998,206,The United States,48473,Marquette,4,193,200,1,1,13,0,0,0,0,20,1,1,1,1,1,20,1,1,1,1,1,20,1,1,1,1,1,2,0,2,15,31,6,13,100,100,429,367,429,367,429,367,5,3,1,100,66,54,10,3,50,50,50,50,1,1,1,1,1,200,200,200,200,200,200,200,200,200,0,1,550,0.241,0,0,12,53,133,5,10500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,1,384,370,380,380,380,0,0,0,0,0,0,0,0,370,380,380,380,0,0,0,0,0,0,0,0,0,107,,,,,7,10,eol
152,0,4,Atlanta Musketeers,Baseline League,Menjivar,Oliver,,23,10,6,1998,206,The United States,1590,Algonquin,5,184,200,1,1,13,0,0,0,0,20,1,1,1,1,1,20,1,1,1,1,1,20,1,1,1,1,1,2,1,1,44,9,30,69,100,100,172,172,172,172,172,172,5,3,1,100,171,54,10,3,50,50,50,50,1,1,1,1,1,200,200,200,200,200,200,200,200,200,0,1,550,0.272,0,0,33,95,121,5,12462000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,1,409,400,400,410,400,0,0,0,0,0,0,0,0,400,400,410,400,0,0,0,0,0,0,0,0,0,111,,,,,3,10,eol
197,0,13,Milwaukee Sand Gnats,Baseline League,Montano,Ramon,,99,23,10,1998,56,Dominican Republic,70516,San Pedro de Macorís,1,188,200,1,1,13,0,0,0,0,20,1,1,1,1,1,20,1,1,1,1,1,20,1,1,1,1,1,1,0,2,4,14,1,1,100,100,377,377,377,377,377,377,5,3,1,100,80,54,10,3,50,50,50,50,1,1,1,1,1,200,200,200,200,200,200,200,200,200,0,1,550,0.24,0,0,17,50,141,5,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,1,453,460,430,430,425,0,0,0,0,0,0,0,0,440,430,430,425,0,0,0,0,0,0,0,0,0,112,114,,,,7,11,eol
289,0,8,Dallas Attack,Baseline League,de Lira,Juan,,9,1,4,1998,56,Dominican Republic,71432,Santo Domingo,5,193,200,1,1,13,0,0,0,0,20,1,1,1,1,1,20,1,1,1,1,1,20,1,1,1,1,1,1,1,0,14,14,5,20,100,100,388,437,388,437,388,437,5,3,1,100,16,54,10,3,50,50,50,50,1,1,1,1,1,200,200,200,200,200,200,200,200,200,0,1,550,0.233,0,0,16,37,153,5,3800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,1,390,400,400,400,400,0,0,0,0,0,0,0,0,400,400,400,400,0,0,0,0,0,0,0,0,0,110,,,,,2,10,eol
91,0,14,Fort Worth Villains,Baseline League,Santamaria,Jose,,29,28,3,1998,56,Dominican Republic,71389,Santiago,1,202,200,1,1,13,0,0,0,0,20,1,1,1,1,1,20,1,1,1,1,1,20,1,1,1,1,1,1,1,0,3,5,8,1,100,100,422,210,422,210,422,210,5,3,1,100,140,54,10,3,50,50,50,50,1,1,1,1,1,200,200,200,200,200,200,200,200,200,0,1,550,0.228,0,0,13,87,148,5,10000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,1,396,403,400,410,400,0,0,0,0,0,0,0,0,403,400,410,400,0,0,0,0,0,0,0,0,0,122,,,,,3,10,eol
98,0,6,Oklahoma City Lynx,Baseline League,Gamez,Dave,,2,11,12,1998,210,Venezuela,17157,Cantaura,5,177,200,1,1,13,0,0,0,0,20,1,1,1,1,1,20,1,1,1,1,1,20,1,1,1,1,1,3,0,0,23,22,1,35,100,100,448,445,448,445,448,445,5,3,1,100,159,54,10,3,50,50,50,50,1,1,1,1,1,200,200,200,200,200,200,200,200,200,0,1,550,0.227,0,0,11,36,154,5,9500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,1,389,385,380,380,390,0,0,0,0,0,0,0,0,385,380,380,390,0,0,0,0,0,0,0,0,0,108,,,,,6,10,eol
255,0,7,San Antonio Wild Horses,Baseline League,Misquez,Jorge,,26,8,2,1998,145,Panama,62478,Panama,4,175,200,1,1,13,0,0,0,0,20,1,1,1,1,1,20,1,1,1,1,1,20,1,1,1,1,1,1,0,1,20,6,1,38,100,100,241,328,241,328,241,328,5,3,1,100,61,54,10,3,50,50,50,50,1,1,1,1,1,200,200,200,200,200,200,200,200,200,0,1,550,0.264,0,0,28,62,126,5,10000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,1,405,400,400,418,400,0,0,0,0,0,0,0,0,400,400,418,400,0,0,0,0,0,0,0,0,0,109,,,,,2,9,eol
42,0,12,Colorado Springs War Dogs,Baseline League,Colbert,Trent,,16,21,6,1998,206,The United States,72460,Seattle,4,199,200,1,1,13,0,0,0,0,20,1,1,1,1,1,20,1,1,1,1,1,20,1,1,1,1,1,3,1,2,29,20,6,45,100,100,414,361,414,361,414,361,5,3,1,100,126,54,10,3,50,50,50,50,1,1,1,1,1,200,200,200,200,200,200,200,200,200,0,1,550,0.237,0,0,13,54,108,5,10500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,1,469,420,435,435,430,0,0,0,0,0,0,0,0,420,435,435,430,0,0,0,0,0,0,0,0,0,152,,,,,11,11,eol
700,0,9,Denver Swordfish,Baseline League,Villa,Bob,,12,2,5,1998,210,Venezuela,47987,Maracaibo,5,188,200,1,1,13,0,0,0,0,20,1,1,1,1,1,20,1,1,1,1,1,20,1,1,1,1,1,3,1,0,54,25,75,58,100,100,440,25,440,25,440,25,5,3,1,100,64,54,10,3,50,50,50,50,1,1,1,1,1,200,200,200,200,200,200,200,200,200,0,1,550,0.24,0,0,11,162,126,5,11500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,1,354,335,340,340,340,0,0,0,0,0,0,0,0,335,340,340,340,0,0,0,0,0,0,0,0,0,116,,,,,7,9,eol
