ID,POS,Name,ORG,Lev,Age,HT,B,OVR,POT,WE,INT,Prone,BABIP,GAP,POW,EYE,K's,BA vL,GAP vL,POW vL,EYE vL,K vL,BA vR,GAP vR,POW vR,EYE vR,K vR,HT P,GAP P,POW P,EYE P,K P,C FRM,C ARM,IF RNG,IF ARM,OF RNG,OF ARM,SPE,STE,RUN
33268,3B,BRYANT ADAMS,CIN,MLB,24,6' 5',Left,80,80,N,N,Fragile,60,55,55,45,60,55,55,50,45,50,65,60,55,45,65,60,55,55,45,60,20,20,70,70,35,65,70,70,65
22172,RF,IVAN ARANGO,SD,MLB,23,6' 3',Switch,80,80,H,N,Normal,60,60,55,45,55,60,60,60,45,55,60,55,55,45,55,60,60,55,45,55,20,20,50,55,65,65,75,30,30
38075,2B,LANDON AUKAMP,NYM,MLB,24,6' 0',Right,80,80,N,N,Fragile,55,55,60,45,60,55,60,70,45,75,55,55,55,45,55,55,65,60,45,60,20,20,75,70,45,65,70,35,25
30171,1B,CRISTOFFER BAEZ,TB,MLB,25,6' 0',Right,80,80,N,N,Fragile,55,50,60,60,70,55,50,60,60,70,55,50,60,60,70,55,50,65,60,70,20,20,50,40,35,30,35,30,50
27908,2B,PETE BALLWEG,KCR,MLB,24,6' 4',Right,80,80,N,L,Normal,50,50,65,60,50,50,50,65,60,50,50,50,65,60,50,50,50,75,60,70,20,20,70,70,55,70,50,45,65
14066,1B,HUGH BENITEZ,OAK,MLB,23,6' 3',Right,80,80,H,N,Durable,70,50,70,50,70,65,50,70,50,70,70,50,70,50,70,70,70,70,50,70,20,20,50,35,30,25,55,65,70
21361,1B,UNAI BETANCOURTH,CWS,MLB,23,6' 1',Switch,80,80,N,H,Normal,65,50,65,60,80,60,50,60,60,80,65,50,65,65,80,65,50,65,60,80,20,20,40,45,40,50,65,55,50
30843,LF,MAXWELL BJORNSON,STL,MLB,24,6' 0',Left,80,80,N,N,Normal,60,55,60,55,55,55,55,50,50,50,60,60,65,60,55,60,55,60,55,55,20,20,35,45,60,45,50,55,35
29796,1B,BRENDAN BOZEK,NYM,MLB,25,6' 4',Right,80,80,H,N,Normal,50,50,70,65,55,50,50,75,65,55,50,50,70,65,55,50,50,70,65,55,20,20,40,70,50,40,35,30,35
32452,C,A.J. BUSWELL,WAS,MLB,28,6' 6',Right,80,80,N,H,Durable,70,50,60,70,60,70,50,60,70,65,70,50,60,70,60,70,50,60,70,65,60,55,30,50,25,45,20,20,30
38993,1B,YONATAN CASTRUITA,OAK,MLB,24,6' 6',Right,80,80,N,H,Normal,75,65,70,70,60,80,75,80,80,75,70,65,65,70,55,80,70,75,80,60,20,25,40,40,45,45,40,25,30
37242,2B,STEVE CAULFIELD,MIL,MLB,30,6' 1',Switch,80,80,N,N,Fragile,65,50,55,50,65,65,50,55,50,65,65,55,55,50,70,65,50,55,50,65,25,25,65,60,30,60,40,70,80
24662,1B,VITO CEDEÑO,PHI,MLB,27,6' 0',Right,80,80,H,N,Durable,55,50,55,60,75,60,55,55,70,80,55,50,50,60,75,55,50,55,60,75,20,20,45,35,55,45,45,70,65
40743,3B,JIRAH CHUN,TEX,MLB,25,6' 0',Right,80,80,H,N,Fragile,55,55,70,50,55,55,55,70,50,55,55,55,70,50,55,55,55,70,50,55,30,25,60,65,40,70,35,20,20
38790,1B,CHRISTIAN CORNEJO,LAD,MLB,25,6' 4',Right,80,80,N,N,Normal,75,55,35,60,65,75,55,35,60,65,75,55,35,60,65,75,55,35,60,65,20,20,60,55,45,60,65,65,70
32944,2B,SEAN COX,TOR,MLB,24,6' 2',Right,80,80,H,N,Durable,60,55,55,50,55,65,60,65,55,65,60,55,50,50,55,60,55,55,50,55,20,20,65,65,45,65,50,50,50
31641,LF,LINDSAY CUNNINGHAM,ARI,MLB,24,6' 3',Right,80,80,N,H,Normal,55,70,65,50,55,55,75,75,50,60,55,70,60,50,55,55,70,65,50,60,20,20,50,35,70,55,70,35,20
36202,1B,LEÓN DE JESUS,CLE,MLB,28,6' 4',Left,80,80,N,N,Fragile,55,70,55,75,65,55,60,50,65,60,55,75,55,75,65,55,75,55,75,65,20,20,40,40,35,25,65,55,75
36682,LF,LUCIO DE LA CRUZ,KCR,MLB,26,6' 1',Left,80,80,H,H,Normal,50,55,75,50,75,50,50,70,50,70,50,55,80,50,75,50,55,75,50,75,20,20,45,40,60,55,40,40,40
36637,1B,YANIEL DI MAGGIO,PIT,MLB,26,5' 11',Right,80,80,N,H,Normal,55,70,55,50,65,55,70,55,50,65,55,70,55,50,65,55,70,55,50,65,20,20,50,50,40,40,70,70,60
34617,3B,BALTESAR DIAZ,LAD,MLB,24,6' 0',Switch,80,80,H,N,Normal,60,60,65,55,65,65,65,80,65,80,55,55,60,50,60,60,60,65,55,65,20,20,65,70,40,65,60,40,65
39546,LF,MARK EASTER,CHC,MLB,24,6' 2',Right,80,80,N,N,Normal,60,55,55,45,60,65,65,75,50,80,55,55,55,45,55,60,55,55,45,60,20,20,45,35,65,50,55,25,60
39375,RF,INGMAR EICKHOFF,COL,MLB,22,6' 0',Right,80,80,H,N,Normal,55,75,60,50,50,60,75,70,55,55,55,75,55,50,50,55,75,60,50,50,20,20,55,45,65,55,75,45,50
33067,RF,SANTIAGO GOMAR,TEX,MLB,26,6' 5',Right,80,80,H,N,Fragile,65,45,50,55,55,65,45,50,55,60,65,45,50,55,55,65,45,50,55,55,20,20,55,60,60,70,45,55,65
31370,RF,MIKE GONZALEZ,WAS,MLB,25,6' 1',Left,80,80,H,H,Normal,55,65,60,50,65,55,65,55,50,65,60,65,60,50,70,55,65,60,50,65,20,20,45,45,60,70,70,60,65
32630,CF,FRED GREENWELL,TEX,MLB,25,6' 2',Left,80,80,L,N,Fragile,50,60,75,70,40,50,55,65,65,40,50,60,75,70,40,55,80,80,70,40,20,20,50,50,70,70,65,70,75
11292,C,SAMUEL HOLLOWAY,NYY,MLB,32,6' 3',Right,80,80,N,N,Normal,45,40,50,75,45,45,40,50,80,45,45,40,50,75,45,45,40,50,75,45,80,75,30,60,25,65,20,20,30
30301,3B,V.J. HORNER,ARI,MLB,24,6' 4',Right,80,80,N,H,Fragile,60,55,65,50,45,60,60,70,50,50,60,55,65,50,45,60,55,65,60,50,20,20,65,70,55,60,75,35,30
36730,1B,BART IBARRA,LAD,MLB,27,5' 11',Right,80,80,H,N,Normal,65,65,55,55,55,65,65,55,55,55,65,65,55,55,55,65,65,55,55,55,20,20,60,40,45,30,70,65,75
35491,2B,GILDARDO LARES,MON,MLB,25,6' 2',Right,80,80,H,N,Durable,65,70,55,55,50,65,75,55,60,50,65,70,55,55,50,65,75,55,55,50,20,20,70,70,65,60,65,70,80
31185,LF,MÁXIMO LOYA,PIT,MLB,25,6' 1',Right,80,80,H,N,Normal,55,50,60,55,55,55,50,65,60,55,55,50,60,55,55,55,50,60,55,55,20,20,50,45,65,60,55,45,55
41057,C,RAMÓN MARROQUIN,CWS,MLB,31,6' 5',Switch,80,80,N,N,Normal,45,55,65,80,45,45,50,50,70,40,50,55,70,80,45,45,55,65,80,45,60,70,45,65,50,65,25,20,20
37843,RF,PHILIPPE MASSICOTTE,STL,MLB,23,6' 4',Right,80,80,N,L,Normal,60,55,60,50,55,65,60,70,55,60,60,55,55,50,50,60,55,60,50,55,20,20,35,50,55,60,65,40,45
36772,C,HOBART MAYO,CWS,MLB,26,6' 0',Switch,80,80,N,N,Normal,55,50,55,50,50,55,50,55,50,50,55,50,55,50,50,55,50,65,50,50,80,60,40,50,20,50,20,20,25
31063,CF,LEBOHANG MKABELA,OAK,MLB,25,6' 2',Right,80,80,N,N,Fragile,60,60,55,55,55,60,70,65,65,65,60,55,55,50,55,60,60,55,55,55,20,20,60,60,70,70,50,60,55
38438,C,ALEJANDRO MOLINA,HOU,MLB,26,6' 4',Right,80,80,N,N,Normal,65,50,55,55,65,65,50,55,60,65,65,50,55,55,65,65,50,55,55,65,70,60,25,35,30,35,45,35,30
41360,2B,JHOAN MONTERO,ANA,MLB,20,6' 2',Right,80,80,H,H,Normal,75,50,45,50,65,80,55,50,50,70,75,50,45,50,60,80,70,55,50,80,20,20,70,45,60,45,75,65,75
32487,DH,KENNY MOSS,TB,MLB,24,5' 11',Right,80,80,H,L,Fragile,65,60,75,60,75,70,65,80,70,80,60,55,70,60,70,65,60,75,60,75,20,20,60,45,40,35,45,50,55
36771,1B,JASON NAGEL,SD,MLB,25,6' 3',Right,80,80,N,N,Fragile,60,50,55,55,55,60,50,60,55,55,60,50,55,55,55,60,50,55,55,55,20,20,60,60,35,50,35,50,60
32977,RF,JONATHAN PACHECO,SEA,MLB,24,6' 1',Left,80,80,H,N,Normal,55,65,55,55,65,50,55,50,45,50,60,70,60,60,75,55,65,60,55,65,20,20,45,40,60,65,65,50,40
30646,3B,RODRIGO PEGUERO,MIN,MLB,25,5' 9',Right,80,80,H,H,Fragile,80,70,40,55,75,80,70,40,55,75,80,70,40,55,75,80,75,40,55,75,20,20,60,65,45,60,80,55,65
34092,2B,JAVY PEINADO,CHC,MLB,25,6' 5',Right,80,80,N,N,Durable,70,60,55,65,65,75,65,60,70,75,65,55,50,60,60,70,60,65,65,65,20,20,75,60,40,60,65,60,75
38718,CF,JOEL PINCHON,NYY,MLB,26,6' 3',Right,80,80,H,H,Normal,60,80,50,60,55,60,80,50,60,55,60,80,50,60,55,60,80,50,70,55,20,20,50,35,75,55,80,70,65
34141,1B,HALEF PORTEIRO,NYM,MLB,26,6' 3',Right,80,80,N,N,Normal,70,60,75,75,50,70,60,75,75,50,70,60,75,75,50,70,60,80,75,50,20,20,30,35,35,50,50,65,70
36828,RF,QUINTON QUEVEDO,TOR,MLB,26,6' 7',Right,80,80,N,N,Normal,50,55,80,55,55,50,55,80,55,55,50,55,80,50,55,50,55,80,55,65,20,20,25,40,40,50,40,30,40
37171,LF,KASIM RAI,TB,MLB,23,6' 4',Right,80,80,N,N,Normal,55,55,65,65,55,60,60,70,65,60,55,55,60,65,50,55,55,65,65,55,20,20,35,55,60,65,55,60,55
40044,CF,WES RAMÍREZ,CLE,MLB,25,6' 5',Right,80,80,H,N,Normal,55,60,60,50,65,60,65,70,50,75,55,55,55,45,60,55,60,60,50,65,20,20,45,50,70,80,75,60,65
34004,LF,GAD RASOOL,MON,MLB,26,6' 2',Left,80,80,N,H,Fragile,55,65,65,55,50,50,60,55,50,50,55,65,65,55,55,55,70,65,55,50,20,20,45,55,65,65,65,50,65
39118,1B,ERIK REYNOLDS,HOU,MLB,24,6' 0',Right,80,80,N,N,Fragile,50,55,65,50,60,50,60,75,55,70,50,55,65,50,60,50,55,70,50,60,20,20,60,45,35,35,55,55,70
40729,LF,FRANKLIN RUDD,MON,MLB,24,6' 2',Right,80,80,N,H,Normal,60,55,80,50,55,65,55,80,55,65,60,55,80,50,55,60,55,80,50,55,45,50,40,55,65,65,45,65,75
34529,3B,BRANDON SANCHEZ,WAS,MLB,25,6' 3',Right,80,80,H,H,Normal,60,70,80,50,50,60,70,80,50,50,60,70,80,50,50,60,70,80,50,50,20,20,65,75,40,70,60,65,75
36104,RF,DANIEL SANTILLAN,PIT,MLB,28,6' 4',Right,80,80,H,H,Fragile,75,65,80,50,40,75,70,80,55,40,75,65,80,50,40,75,70,80,55,40,20,20,30,65,65,70,60,80,80
29361,2B,BRANDON SCHILLECI,TEX,MLB,24,6' 3',Right,80,80,L,H,Fragile,65,65,80,55,55,70,65,80,55,55,65,65,80,55,55,65,70,80,55,55,20,20,65,65,35,60,70,55,75
38563,LF,ANTHONY SCHORER,OAK,MLB,26,6' 0',Right,80,80,H,N,Normal,75,50,55,50,55,80,55,55,50,55,75,50,55,50,55,80,50,60,50,65,20,20,45,35,70,60,65,70,80
32032,RF,LUCA SCHREIER,BAL,MLB,25,6' 4',Left,80,80,H,H,Normal,55,50,65,55,60,50,50,60,55,55,55,50,65,55,60,55,55,65,55,60,20,20,35,45,60,60,35,25,20
40999,RF,DALE SCHWIMER,KCR,MLB,25,6' 3',Left,80,80,H,N,Fragile,65,55,55,45,65,60,50,50,40,55,65,55,55,45,70,65,55,55,45,65,20,20,30,45,60,65,60,50,60
29178,RF,EDSEL SLACK,ATL,MLB,24,6' 4',Right,80,80,H,N,Normal,55,50,55,50,55,60,50,55,55,60,55,50,55,50,55,60,50,55,55,60,20,20,45,40,65,65,45,45,35
18259,1B,NEHEMIAH STOKER,TEX,AAA,23,6' 2',Right,80,80,N,N,Normal,55,50,55,65,70,55,50,55,65,70,55,50,55,65,70,55,50,55,65,70,20,20,55,40,50,40,65,60,65
36955,LF,EVAN SZABO,MIN,MLB,27,6' 7',Left,80,80,H,N,Durable,50,55,80,55,50,50,50,70,50,50,50,55,80,55,50,50,55,80,55,50,20,20,25,45,55,60,55,65,65
28919,1B,JAYDEN THOLEN,KCR,MLB,24,6' 3',Right,80,80,H,N,Fragile,75,55,75,80,60,75,55,75,80,60,75,55,75,80,60,80,55,80,80,60,20,20,60,75,45,65,55,65,80
28258,LF,JEREMIAH THOMPSON,HOU,MLB,25,6' 1',Switch,80,80,L,L,Normal,50,55,65,55,80,50,50,60,50,75,55,55,65,55,80,50,55,65,55,80,20,20,35,40,70,50,60,50,35
35526,2B,OSCAR VALDES,PIT,MLB,26,6' 1',Switch,80,80,N,N,Fragile,75,50,50,45,65,70,50,50,45,60,75,50,50,45,65,80,50,50,45,65,20,20,70,70,45,70,70,55,75
32222,LF,REMY VARGAS,FLA,MLB,24,6' 1',Switch,80,80,N,L,Durable,50,50,70,50,60,50,50,65,45,60,50,50,70,50,60,50,50,70,50,70,20,20,30,45,60,50,70,70,65
17963,RF,YOAKIM VERDUSCO,SF,MLB,23,6' 1',Left,80,80,H,N,Normal,60,45,60,55,55,60,45,55,50,55,60,45,60,55,60,60,45,65,55,55,20,20,30,45,50,60,30,30,40
29399,RF,KARSTEN VERMEULEN,TEX,MLB,25,6' 3',Left,80,80,N,N,Normal,55,55,70,50,55,55,55,65,50,50,55,55,75,50,55,55,55,70,50,55,20,20,35,50,35,65,30,40,20
34764,LF,PELTON WACKER,NYM,AAA,25,5' 11',Left,80,80,H,N,Fragile,55,65,70,55,50,50,55,50,50,45,60,70,75,60,55,55,65,70,55,50,20,20,25,40,60,65,50,50,55
28215,1B,BENTLEY WATTS,NYY,MLB,24,6' 6',Right,80,80,H,N,Durable,70,45,65,55,60,70,45,65,55,60,70,45,65,55,60,75,45,65,55,60,20,20,35,20,50,40,30,30,40
38868,RF,LOEK WILLEMS,MIL,MLB,23,6' 6',Right,80,80,N,N,Normal,55,65,60,50,60,55,70,70,55,75,50,60,55,50,60,55,65,60,50,60,20,20,30,45,60,65,65,60,70
34452,RF,DAN WISNER,ANA,MLB,25,6' 4',Left,80,80,H,N,Fragile,50,55,70,50,50,50,50,55,40,45,55,60,80,50,55,50,60,70,50,50,20,20,50,60,70,80,65,35,65
32882,RF,ELIJAH BABLER,MON,MLB,32,6' 2',Switch,79,79,H,H,Normal,65,60,65,55,40,70,60,65,60,40,65,60,60,55,40,65,60,65,55,40,20,20,45,35,70,70,30,35,30
37714,LF,ENDER GUDINO,BOS,MLB,22,6' 2',Right,79,80,N,N,Fragile,60,65,65,50,45,60,70,70,50,50,55,65,65,50,45,60,75,70,55,50,20,20,55,35,55,55,65,65,70
39251,LF,SATOSHI OSHIDA,KAN,INT,27,6' 2',Right,79,79,H,N,Fragile,60,70,45,45,65,65,75,50,45,65,60,70,45,45,65,60,70,45,45,65,20,25,55,25,65,50,55,50,70
31652,RF,RANDY RUIZ,TOR,MLB,25,6' 3',Left,79,79,H,H,Normal,55,55,55,55,60,55,55,55,55,55,55,55,55,55,60,55,55,55,55,65,20,20,25,45,55,70,65,30,30
30059,3B,AUSTIN STIGALL,FLA,MLB,23,6' 3',Switch,79,80,N,N,Normal,60,50,50,65,55,55,50,45,55,50,65,55,50,65,55,75,55,60,75,55,20,20,70,75,40,75,55,30,30
29886,3B,T.J. SWERDLOFF,TOR,MLB,26,6' 2',Right,79,80,N,N,Normal,50,60,60,50,60,50,65,65,50,60,50,60,60,50,60,55,60,60,50,60,25,20,65,65,50,55,60,30,45
37528,LF,PAUL TERZO,HOU,MLB,25,6' 1',Left,79,79,N,N,Fragile,70,80,50,50,50,65,70,50,50,50,70,80,55,50,50,70,80,50,50,50,20,20,55,35,65,50,70,65,80
25128,3B,GABRIEL MARTÍNEZ,BAL,MLB,31,6' 2',Right,78,78,N,H,Wrecked,50,50,60,75,60,50,50,65,75,60,50,50,60,70,55,50,50,60,75,60,20,25,55,65,40,50,35,45,60
38473,RF,JUSTIN PRIESTAS,FLA,MLB,26,6' 2',Left,78,80,H,H,Durable,65,80,40,45,60,65,75,40,45,60,65,80,40,50,60,65,80,45,50,60,20,20,30,35,65,55,75,70,75
29733,C,RATHBONE WAITE,OAK,MLB,25,6' 2',Right,78,78,N,N,Normal,50,50,50,45,65,50,50,55,45,65,50,50,50,45,65,50,50,55,45,65,70,60,30,45,35,40,35,20,25
33632,2B,ROBERTO BERRIOS,CIN,MLB,26,5' 10',Right,77,77,N,N,Normal,55,60,65,50,60,55,65,75,55,65,55,60,65,50,55,55,60,65,50,60,20,20,50,50,25,35,60,30,45
30142,1B,MARIÁN LUTONSKÝ,CHC,MLB,24,6' 6',Left,77,77,N,N,Durable,65,55,60,50,50,65,55,55,45,50,65,60,65,50,50,65,55,60,50,50,20,20,30,45,55,60,50,40,55
38018,2B,JONATHAN MATTHEWS,MIN,MLB,24,5' 11',Right,77,77,N,N,Normal,75,50,55,40,50,75,55,55,45,55,75,50,50,40,50,75,50,55,45,50,20,20,65,55,50,40,55,50,60
38214,LF,LORENZO ALVARADO,FLA,MLB,21,5' 11',Right,76,76,N,N,Normal,60,50,65,50,50,65,55,75,60,60,55,50,65,50,50,60,50,65,50,50,20,20,20,20,45,35,35,25,30
24732,RF,LEO AMAYA,KCM,MLB,28,6' 4',Right,76,76,H,L,Durable,45,65,70,45,60,45,65,70,45,60,45,65,65,45,60,45,65,70,45,60,20,20,55,60,65,70,70,75,80
36474,1B,MANUEL CHAVIANO,MIL,AAA,25,6' 2',Right,76,79,N,L,Normal,55,55,55,60,60,55,55,55,60,65,55,55,55,60,60,55,55,55,60,75,20,20,45,40,45,35,40,30,25
31614,RF,QIUBAI DOU,PHI,MLB,25,6' 0',Left,76,76,N,N,Normal,55,70,55,40,70,55,50,45,35,55,60,75,55,40,70,55,70,55,40,70,20,20,30,40,60,60,60,40,55
35806,RF,CHASE MOYER,MIL,MLB,32,5' 10',Left,76,76,H,N,Iron Man,50,70,65,65,50,45,50,50,50,50,50,75,75,70,50,50,70,65,65,50,20,20,30,45,55,70,45,45,60
39102,LF,ALEX PAULSEN,STL,MLB,24,6' 5',Right,76,76,H,N,Normal,60,55,55,55,60,65,60,65,60,70,60,55,55,55,60,60,55,55,55,65,20,20,40,40,45,50,45,40,50
34499,RF,TOMMY EZZELL,HOU,MLB,25,6' 0',Left,75,80,N,L,Fragile,55,60,55,50,55,50,55,50,50,50,55,65,55,50,55,60,65,60,50,60,20,20,60,55,70,65,65,50,70
32071,1B,MAHIR MANNES,TEX,MLB,25,6' 3',Right,75,80,H,N,Fragile,50,55,60,80,55,50,60,70,80,60,50,55,60,80,55,55,55,70,80,60,20,20,40,45,45,60,50,50,50
5900,3B,ELIJAH MOORE,SD,MLB,29,6' 2',Right,75,76,N,N,Wrecked,55,70,50,45,70,55,80,50,45,75,55,65,45,40,70,55,70,50,45,70,20,20,55,75,35,70,55,80,80
40900,3B,ISAAC SNYDER,HOU,MLB,25,6' 1',Right,75,75,H,N,Normal,55,65,60,50,55,55,70,65,50,55,55,65,55,45,50,55,65,60,50,55,20,20,65,70,45,70,60,55,35
28505,LF,JON BETANCOURT,ATL,MLB,23,6' 1',Left,74,80,N,N,Fragile,50,55,65,50,60,50,50,55,45,50,50,60,70,50,65,70,55,65,55,60,20,20,55,30,60,50,75,50,65
33732,1B,JAKE HOOKER,CWS,AAA,25,6' 4',Right,74,74,H,N,Normal,55,50,55,45,65,60,55,60,45,75,55,50,55,45,65,55,50,55,45,65,20,20,35,35,40,25,45,20,35
37195,1B,CARTER MCTAGGART,KCR,MLB,29,6' 2',Right,74,79,H,N,Fragile,65,60,55,60,50,65,60,55,60,50,65,60,55,60,50,80,65,65,60,50,20,20,50,65,45,50,40,50,50
32948,2B,NEO MORI,OAK,MLB,25,6' 2',Right,74,74,N,N,Fragile,55,60,50,50,55,55,60,50,50,55,55,60,50,50,55,55,60,50,50,55,20,20,70,70,40,70,65,65,60
36065,2B,HUGO PALAFOX,TEX,MLB,30,6' 0',Switch,74,74,H,N,Fragile,50,50,55,65,60,50,55,55,65,60,50,50,55,65,60,50,50,55,65,60,20,20,65,45,50,30,25,55,80
36606,3B,VAL HODGKINSON,TOR,MLB,26,6' 3',Right,73,73,H,N,Fragile,50,50,65,55,60,50,50,75,65,65,50,45,60,55,60,50,50,65,55,60,20,20,65,60,45,55,50,40,70
38059,C,LANDON HUGHES,TEX,MLB,24,5' 10',Left,73,73,N,N,Normal,55,45,55,45,55,50,45,50,40,50,55,50,55,45,55,55,45,55,45,55,60,60,30,45,30,50,25,30,25
36655,DH,PETER JOY,CHC,MLB,25,6' 0',Switch,73,77,N,H,Normal,65,50,55,65,65,55,50,50,55,55,65,50,55,65,70,70,50,55,65,70,20,20,30,35,45,50,25,30,20
41324,1B,FREDERICO MUÑOZ,COL,MLB,28,6' 1',Right,73,80,N,H,Normal,50,70,65,80,45,50,75,70,80,45,50,70,65,80,45,50,70,75,80,45,20,20,50,50,45,60,35,50,55
34535,SS,BRECKEN RATH,ANA,MLB,26,6' 4',Left,73,73,H,N,Fragile,65,60,50,50,50,65,55,50,45,50,70,60,50,50,50,65,60,50,50,50,20,20,75,70,25,60,75,70,75
25286,1B,JACK ROATEN,TOR,MLB,24,6' 3',Left,73,73,H,N,Normal,50,50,70,45,55,50,50,65,45,55,50,50,75,45,55,50,50,70,45,55,20,20,40,25,25,25,30,20,20
39133,C,MARCELITO RODRÍGUEZ,LAD,MLB,23,6' 4',Right,73,73,N,L,Normal,50,55,55,50,55,50,60,60,55,70,50,55,50,50,55,50,55,55,50,55,55,70,35,60,30,65,35,20,30
40516,RF,LUKAS SEPULVEDA,CLE,MLB,26,6' 0',Right,73,73,N,N,Normal,50,55,60,40,65,50,60,65,40,65,50,55,60,40,60,50,55,60,40,65,20,20,55,25,65,55,65,60,80
36370,3B,ERIK ZOTTA,SF,MLB,23,6' 1',Right,73,80,N,N,Normal,50,55,65,55,45,50,55,65,55,45,50,55,65,55,45,55,70,70,55,55,20,20,60,65,50,60,65,60,70
