ID,POS,Name,ORG,Lev,Age,HT,B,T,OVR,POT,LEA,WE,INT,Prone,BABIP,GAP,POW,EYE,K's,BA vL,GAP vL,POW vL,EYE vL,K vL,BA vR,GAP vR,POW vR,EYE vR,K vR,HT P,GAP P,POW P,EYE P,K P,C FRM,C ARM,IF RNG,IF ARM,TDP,OF RNG,SPE,STE,RUN,AB,1B,2B,3B,HR,BB,IBB,HP,SF,CI,SO,PI/PA,SB,CS,G,SBA,RTO,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,FRM,ARM
33268,2B,BRYANT ADAMS,CIN,MLB,24,6' 5',L,R,80,80,N,N,N,Normal,60,55,55,45,60,55,55,50,45,50,65,60,55,45,65,60,55,55,45,60,20,20,70,70,65,35,70,70,65,95,13,8,1,3,7,1,1,0,0,22,3.36,5,2,24,0,0,78,75,10,4,11,8,6,2,18,5,0.0,0.0
22172,LF,IVAN ARANGO,SD,MLB,23,6' 3',S,R,80,80,N,H,N,Durable,60,60,55,45,55,65,60,60,45,55,60,60,55,45,55,60,60,55,45,55,20,20,50,55,45,65,70,30,30,595,103,32,10,20,42,3,9,7,0,140,3.56,0,0,171,0,0,209,206,47,43,28,18,31,6,65,5,0.0,0.9
31288,1B,UMAR ATMAR,HOU,MLB,23,6' 9',L,L,55,80,L,L,N,Normal,55,50,60,50,50,50,50,55,45,45,55,55,60,50,50,55,50,80,50,50,20,20,35,45,25,40,20,25,20,561,106,23,0,27,47,0,4,7,0,143,3.65,0,0,156,0,0,214,204,36,29,19,11,10,0,13,0,0.0,0.0
32882,RF,ELIJAH BABLER,MON,MLB,32,6' 2',S,R,80,80,N,H,H,Normal,70,60,65,55,45,70,65,70,60,45,70,60,65,55,45,70,60,65,55,45,20,20,45,35,45,70,30,30,30,490,75,28,1,20,52,1,8,0,0,167,3.95,0,0,129,0,0,178,176,47,46,32,17,27,8,65,5,0.0,5.6
30171,1B,CRISTOFFER BAEZ,TB,MLB,25,6' 0',R,R,80,80,L,N,N,Fragile,60,50,60,60,70,60,50,60,60,70,60,50,55,60,65,60,50,65,60,70,20,20,50,40,50,35,35,30,50,449,90,19,0,17,45,5,3,2,0,88,3.95,0,2,12,0,0,9,8,0,0,0,0,1,0,1,0,0.0,0.0
27908,2B,PETE BALLWEG,KCR,MLB,23,6' 4',R,R,67,80,N,N,L,Normal,50,50,50,65,50,50,50,50,65,50,50,50,50,65,50,50,50,75,65,70,20,20,70,70,70,55,50,45,65,529,92,26,2,21,65,0,6,5,0,133,4.00,2,7,173,0,0,324,309,47,33,46,26,68,18,78,14,0.0,0.1
14066,1B,HUGH BENITEZ,OAK,MLB,23,6' 3',R,R,80,80,N,H,N,Durable,70,50,55,50,70,70,50,55,50,70,70,50,55,50,70,70,70,70,50,75,20,20,50,35,55,30,55,65,65,470,107,22,1,12,56,2,4,3,0,77,3.53,14,1,120,0,0,186,180,26,24,20,13,14,2,8,0,0.0,0.0
21361,1B,UNAI BETANCOURTH,CWS,MLB,23,6' 1',S,R,80,80,N,N,H,Normal,65,50,65,60,80,60,50,60,55,80,65,50,65,60,80,65,50,65,60,80,20,20,40,45,30,40,65,55,50,616,129,34,6,38,70,5,5,8,0,80,3.63,12,9,96,0,0,138,131,25,15,7,2,12,3,6,0,0.0,0.1
30843,LF,MAXWELL BJORNSON,STL,AAA,24,6' 0',L,L,80,80,N,N,N,Normal,60,55,60,55,55,55,50,50,50,50,65,60,65,55,55,60,55,60,55,55,20,20,35,45,20,55,50,55,35,72,12,5,1,4,9,1,3,2,0,20,3.66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
37984,3B,RANDALL BOLLINGER,TB,MLB,24,6' 3',R,R,61,80,H,H,N,Normal,55,50,55,50,50,55,50,55,50,50,55,50,55,50,50,65,55,55,50,55,20,20,65,75,65,50,65,60,55,516,80,27,4,12,51,2,3,1,0,133,3.70,22,4,149,0,0,262,250,46,42,29,22,20,8,41,14,0.0,-0.0
29796,1B,BRENDAN BOZEK,NYM,MLB,24,6' 4',R,R,80,80,L,H,N,Normal,50,50,70,65,55,50,50,75,65,60,50,50,70,65,55,50,50,70,65,55,20,20,40,70,35,50,35,30,35,447,64,36,0,19,46,5,13,5,0,112,4.00,1,0,122,0,0,192,180,25,21,10,7,8,4,10,0,0.0,0.0
19273,CF,AARON BRUTON,ATL,MLB,22,6' 3',R,R,58,80,N,N,N,Fragile,50,45,55,40,50,55,50,55,40,50,50,45,55,40,50,60,60,55,45,80,20,20,35,60,30,75,70,65,65,508,72,23,4,17,25,0,10,7,0,131,3.48,24,8,154,0,0,213,213,81,81,58,52,47,30,45,8,0.0,1.1
32452,C,A.J. BUSWELL,WAS,MLB,28,6' 6',R,R,80,80,L,N,H,Durable,70,50,60,70,65,70,50,60,70,65,70,50,60,70,60,70,50,60,70,65,60,55,30,50,25,30,20,20,25,501,108,35,0,15,72,4,1,2,0,78,4.28,0,0,124,140,28,36,36,7,6,10,8,0,0,0,0,-2.2,0.0
37500,2B,LUKE CANSDALE,HOU,MLB,26,6' 4',R,R,80,80,N,N,N,Fragile,60,60,55,50,55,60,60,60,50,55,60,60,55,50,55,65,60,60,50,55,20,20,65,65,55,45,65,65,80,484,83,16,3,20,62,2,4,7,0,108,3.87,24,7,163,0,0,261,243,27,25,41,19,35,7,39,6,0.0,0.0
38993,1B,YONATAN CASTRUITA,OAK,MLB,23,6' 6',R,R,80,80,N,N,H,Normal,75,60,70,70,60,80,70,80,80,75,70,60,65,70,55,80,70,75,75,60,20,25,40,40,45,45,40,25,30,475,98,33,0,36,72,9,7,5,0,92,4.36,0,0,33,0,0,42,41,9,8,2,0,3,1,2,0,0.0,0.0
37242,2B,STEVE CAULFIELD,MIL,MLB,29,6' 1',S,R,80,80,N,N,N,Fragile,70,55,55,50,70,70,50,55,50,65,70,55,55,50,70,80,55,75,50,70,25,25,65,60,65,30,40,70,80,218,44,9,1,9,12,1,12,1,0,37,3.48,17,0,63,0,0,95,89,15,12,21,14,13,5,18,5,0.0,0.0
24662,1B,VITO CEDEÑO,PHI,MLB,27,6' 0',R,R,80,80,N,H,N,Durable,55,50,55,60,80,55,55,60,70,80,55,50,55,60,75,55,50,55,60,80,20,20,45,35,40,55,45,70,65,625,113,39,7,21,74,2,2,3,0,93,4.20,49,8,124,0,0,180,170,29,23,12,8,9,2,25,1,0.0,-1.2
36474,1B,MANUEL CHAVIANO,MIL,MLB,24,6' 2',R,R,77,80,N,N,L,Normal,55,55,55,60,60,55,55,55,60,65,55,55,55,60,60,55,55,55,60,80,20,20,45,40,60,35,40,30,25,390,59,23,1,17,29,2,4,1,0,80,3.77,0,0,94,0,0,132,129,19,17,9,8,7,0,12,1,0.0,0.0
