ID,POS,Name,ORG,Lev,Age,T,OVR,POT,LEA,AD,WE,INT,Prone,STU,CON,PBABIP,HRR,STU vL,CON vL,PBABIP vL,HRR vL,STU vR,CON vR,PBABIP vR,HRR vR,STU P,CON P,PBABIP P,HRR P,PIT,STM,HLD,BF,1B,2B,3B,HR,BB,IBB,K,HP,SH,SF,CI,SB,CS
36262,DH,SHOHEI OHTANI,LAD,MLB,31,R,80,80,N,N,H,N,Normal,55,45,70,50,55,45,65,50,55,45,70,50,55,45,70,50,5,55,50,785,108,40,3,16,74,2,187,6,0.0,5,0,20,6
26119,SP,TARIK SKUBAL,DET,MLB,28,L,80,80,H,L,N,L,Normal,55,70,55,55,55,65,55,55,60,70,55,55,55,70,55,55,5,60,55,413,68,13,1,5,17,0,112,8,0.0,4,0,5,2
46567,CL,MASON MILLER,ATH,MLB,27,R,75,75,N,N,N,N,Normal,80,50,65,50,75,50,60,50,80,50,70,55,80,50,65,50,2,25,50,242,36,5,0,7,19,0,80,4,0.0,1,0,2,1
48029,SP,PAUL SKENES,PIT,MLB,23,R,70,75,N,N,N,N,Normal,60,55,55,55,55,55,55,50,60,55,55,55,65,60,55,55,5,55,45,638,91,33,2,20,47,0,154,3,4.0,5,0,14,2
43753,SP,GARRETT CROCHET,BOS,MLB,26,L,71,74,N,N,N,N,Normal,65,50,45,55,70,50,50,65,60,50,45,55,65,50,45,60,5,50,50,794,96,31,2,22,62,0,215,5,2.0,1,1,17,8
36083,CL,FELIX BAUTISTA,BAL,MLB,30,R,72,72,L,N,N,N,Normal,75,45,65,55,75,45,65,50,75,45,65,55,75,45,65,55,4,30,60,257,33,10,0,4,22,1,89,1,1.0,0,0,3,1
33972,CL,JHOAN DURAN,MIN,MLB,27,R,71,71,N,N,N,N,Normal,60,50,50,70,55,50,50,70,65,55,50,75,65,55,50,80,3,30,50,246,40,8,0,8,23,1,75,5,1.0,0,0,2,0
32401,CL,EDWIN DÍAZ,NYM,MLB,31,R,71,71,N,N,N,N,Normal,80,50,55,55,80,50,55,50,75,45,60,55,80,50,55,55,2,30,45,225,26,7,1,5,18,2,83,1,0.0,0,0,2,1
33624,CL,EMMANUEL CLASE,CLE,MLB,27,R,70,70,L,N,L,N,Normal,50,65,65,75,50,65,60,70,50,70,70,75,50,70,65,75,2,25,50,280,50,12,2,5,17,2,51,1,1.0,1,0,2,1
29369,SP,CHRIS SALE,ATL,MLB,36,L,70,70,L,L,N,N,Normal,55,55,50,55,60,55,55,60,55,60,45,55,55,55,50,55,4,55,60,830,103,35,4,20,63,2,236,10,1.0,3,0,10,8
