ID,POS,Name,ORG,Lev,Age,T,OVR,POT,LEA,AD,WE,INT,Prone,STU,CON,PBABIP,HRR,STU vL,CON vL,PBABIP vL,HRR vL,STU vR,CON vR,PBABIP vR,HRR vR,STU P,CON P,PBABIP P,HRR P,KN,KNP,PIT,STM,HLD
37983,RP,JAYSON ARRINGTON,COL,MLB,25,L,80,80,N,L,N,N,Normal,70,50,55,50,70,50,55,55,70,50,55,50,70,50,55,55,-,-,2,25,70
38258,SP,CHIEH-JUI CHU,ATL,MLB,26,R,80,80,N,N,N,N,Normal,50,65,65,60,50,65,65,60,50,65,65,60,50,65,65,60,-,-,4,55,45
36586,SP,TONY OSES,CWS,MLB,25,L,80,80,N,N,N,N,Normal,55,60,55,65,65,60,60,75,55,60,55,65,55,60,55,65,-,-,6,55,60
34618,CL,WENDELL PRONIO,HOU,MLB,25,R,80,80,H,H,H,N,Durable,65,55,55,60,55,55,50,55,75,55,55,65,65,55,55,60,-,-,2,25,75
34609,SP,CECILIO RAMOS,COL,MLB,26,L,80,80,N,N,H,H,Normal,55,70,60,60,55,75,60,65,55,65,60,60,55,70,60,60,-,-,4,45,75
35042,CL,EMILIO REDI,NYM,MLB,25,R,80,80,N,N,H,N,Normal,80,55,55,65,60,50,55,55,80,55,60,75,80,55,55,65,-,-,2,25,60
31980,SP,KURT RILEY JR.,NYM,MLB,25,R,80,80,N,N,N,L,Normal,55,65,65,55,55,65,60,55,60,70,70,55,55,65,65,55,-,-,6,55,40
31998,CL,JACK JONES,MIL,MLB,25,R,79,79,N,N,N,H,Normal,55,60,60,75,50,60,55,70,55,65,65,80,55,60,60,75,-,-,2,35,65
38285,RP,JOHN SCHNEIDER,OAK,MLB,27,R,79,79,N,N,N,N,Durable,70,50,55,55,70,50,55,55,65,50,55,55,70,50,55,55,-,-,4,25,35
38361,RP,LODHI EL-RASIL,ANA,MLB,25,R,78,78,N,H,N,N,Fragile,65,50,55,55,55,45,50,50,80,50,55,65,65,50,55,55,-,-,2,25,65
33717,CL,SOLOMON SUÁREZ,OAK,MLB,25,R,78,78,N,N,H,N,Normal,65,45,55,60,60,45,50,55,70,45,55,65,65,45,55,60,-,-,2,35,50
38286,RP,ALBERTO DI BIASE,ARI,MLB,26,R,77,77,N,N,H,N,Iron Man,65,50,55,55,70,50,55,60,65,50,55,55,65,50,55,55,-,-,2,25,50
37681,CL,AVERY HOOPER,TEX,MLB,27,R,77,77,N,N,N,N,Durable,65,55,55,65,60,50,55,60,65,55,55,65,65,55,55,65,-,-,2,30,35
34002,CL,YUSIF MAMMADOV,KCM,MLB,25,R,77,77,N,N,N,N,Normal,75,35,50,65,70,35,50,65,80,35,50,70,75,35,50,70,-,-,3,30,60
38591,RP,CARL MCBETH,NYM,MLB,25,R,77,77,N,N,H,H,Fragile,60,55,55,55,60,55,55,55,65,55,55,55,60,55,55,55,-,-,5,30,40
40906,RP,ALEX ELFERS,CIN,MLB,25,R,76,76,N,N,N,N,Fragile,70,45,55,50,65,45,55,50,70,45,55,50,70,45,55,50,-,-,3,45,60
35074,RP,IGNACIO RAMOS,COL,MLB,26,R,75,75,N,N,N,L,Durable,75,45,55,50,75,45,55,50,70,45,55,50,75,45,55,50,-,-,2,30,50
36821,RP,HECTOR CABRERA,WAS,MLB,24,L,74,74,N,H,H,L,Durable,65,45,50,55,80,50,55,65,60,45,50,50,65,55,50,55,-,-,2,30,70
41052,SP,SIEGBERT LANGE,SD,MLB,25,R,74,74,L,H,N,N,Fragile,50,55,55,60,50,50,55,55,55,55,60,65,50,55,55,60,-,-,5,50,55
39646,RP,ALFONSO BANALES,OAK,MLB,25,R,73,73,N,N,H,N,Normal,60,60,55,55,60,60,55,55,60,60,55,55,60,60,55,55,-,-,2,20,70
32234,RP,BRAIN WILLIAMSON,ARI,MLB,25,R,73,73,N,H,N,L,Normal,60,55,60,55,60,55,60,55,60,55,60,55,60,55,60,55,-,-,4,30,30
38504,RP,DURGHA MALIKZADA,FLA,MLB,26,R,72,72,N,N,N,N,Iron Man,65,50,50,50,65,50,50,50,65,50,50,50,65,50,50,55,-,-,2,25,40
33209,SP,HARRISON PELATA,MIN,MLB,25,R,72,72,H,H,N,H,Normal,55,55,55,50,55,55,50,50,60,55,55,50,55,55,55,50,-,-,4,50,80
34515,CL,MAXIMILIANO MONCADA,SEA,MLB,26,R,71,71,N,H,N,N,Normal,65,45,50,55,60,45,50,50,70,45,55,55,70,45,50,55,-,-,2,25,60
40777,CL,BARRY PERDOMO,COL,MLB,26,R,71,71,N,N,N,N,Normal,60,50,50,60,55,50,50,55,65,50,50,60,60,50,50,60,-,-,2,25,75
38283,SP,JONAH SMYTH,TB,MLB,25,R,71,76,L,N,H,H,Durable,50,50,60,65,50,50,55,60,50,50,65,65,50,55,60,65,-,-,5,55,65
36623,CL,DONOVAN URBINA,ANA,MLB,25,R,71,71,H,H,N,N,Durable,55,50,55,65,45,50,50,55,70,50,55,75,55,50,55,65,-,-,3,25,50
33293,RP,MAX KINNISON,TEX,MLB,24,R,70,70,N,H,H,N,Normal,70,45,55,50,50,45,50,45,80,45,55,55,70,45,55,50,-,-,2,25,55
37850,CL,RONNIE VIERA,PHI,MLB,25,R,70,70,N,H,H,N,Normal,55,55,55,55,60,55,55,55,55,55,55,55,55,55,55,55,-,-,2,40,35
40986,SP,MACERIO CARMONA,COL,MLB,27,R,69,69,N,N,H,L,Fragile,50,55,60,55,50,55,60,55,50,55,60,55,50,55,60,55,-,-,5,60,35
29652,RP,WALTON CLEMONS,HOU,MLB,25,R,69,69,H,N,H,L,Fragile,65,50,55,45,60,50,50,45,70,55,55,45,65,50,55,45,-,-,2,30,30
24149,RP,LUÍS CALVES,ANA,MLB,24,R,68,68,N,N,N,L,Fragile,60,45,50,65,55,45,45,60,65,45,55,75,60,45,50,65,-,-,2,35,70
30623,CL,CHENG-KUN CHOI,STL,MLB,24,R,68,68,L,N,N,N,Fragile,55,60,55,55,50,60,55,50,55,65,60,55,55,60,55,55,-,-,3,30,50
31299,CL,ALVIN PATTERSON,KCM,MLB,25,R,68,68,N,H,N,N,Fragile,60,50,55,55,60,50,55,55,60,50,55,55,60,50,55,55,-,-,2,25,40
38525,CL,KENNY SANDIFORD,PIT,MLB,26,R,68,68,N,N,N,N,Fragile,50,55,55,65,50,55,55,70,50,55,55,65,50,55,55,70,-,-,2,40,65
34447,SP,NICOLAS SCHEMBER,HOU,MLB,25,R,68,68,N,H,N,L,Normal,55,45,60,55,50,45,60,55,60,45,65,60,55,45,60,55,-,-,5,65,60
38905,SP,DEREK MINTZ,TB,MLB,23,R,67,80,N,N,H,N,Fragile,45,50,55,65,45,50,55,60,50,50,60,65,60,55,55,65,-,-,5,75,45
37418,SP,DE'ANTHONY WHITE,HOU,MLB,26,L,67,67,N,N,N,N,Durable,50,55,55,55,55,60,65,65,50,55,55,50,50,55,55,55,-,-,5,65,75
40495,CL,MARCONI ORTEGA,MIL,MLB,25,L,66,66,L,H,N,H,Fragile,55,55,50,50,55,60,55,50,55,55,50,50,55,55,50,50,-,-,5,50,65
33617,SP,AARON PAREDES,MIN,MLB,21,R,66,66,N,N,H,L,Normal,45,55,55,65,45,55,55,65,45,55,55,70,45,55,55,65,-,-,5,60,35
29792,SP,MAXIMO QUIROA,OAK,MLB,25,R,66,66,N,N,H,N,Normal,50,60,55,50,50,60,55,50,50,60,55,50,50,60,55,50,-,-,6,45,70
30468,RP,SOLOMON STISIS,MON,MLB,25,R,66,66,N,H,N,N,Normal,55,55,50,55,55,55,50,55,55,55,50,55,55,55,50,55,-,-,3,35,50
23884,RP,ZACH ALMONTE,HOU,MLB,24,R,65,65,N,N,N,N,Normal,60,50,50,50,60,50,50,50,60,50,55,50,60,50,50,55,-,-,3,25,35
37641,RP,AUSTIN ESKENAZI,CWS,MLB,26,R,65,65,N,N,N,N,Fragile,65,55,55,45,65,55,50,45,65,55,55,45,65,55,55,45,-,-,3,30,40
40640,CL,ELÍAS HERNÁNDEZ,ATL,MLB,27,R,65,65,N,N,N,N,Fragile,70,45,55,50,60,45,50,45,80,45,55,50,70,45,55,50,-,-,2,25,35
39676,SP,B.J. MICHALSKI,ARI,MLB,24,L,65,65,N,H,N,H,Fragile,45,55,55,70,45,55,55,70,45,55,55,70,45,55,55,70,-,-,5,50,80
32265,SP,DAVID SHANK,TEX,MLB,25,R,65,65,H,N,H,N,Fragile,50,65,60,55,45,60,55,50,50,65,70,60,50,65,60,60,-,-,5,40,55
37875,SP,JOHNNY TATARSKY,MIN,MLB,25,L,65,65,N,H,N,H,Normal,50,55,50,50,50,55,50,55,50,55,50,50,50,55,50,50,-,-,5,55,55
29719,CL,MASON VORA,TB,MLB,25,R,65,70,N,H,N,N,Fragile,70,50,55,45,65,50,50,40,75,50,55,45,70,50,55,45,-,-,3,30,25
33684,SP,JONAS DRIGGERS,ARI,MLB,25,R,64,64,L,N,L,H,Fragile,50,60,60,50,50,60,55,50,50,60,60,50,50,60,60,50,-,-,5,60,35
31995,RP,ZACH ERICKSEN,HOU,MLB,25,L,64,64,N,H,N,N,Normal,55,50,50,55,55,50,50,50,55,50,50,55,55,50,50,55,-,-,4,30,55
39143,RP,GABE GRUBB,TB,MLB,25,R,64,64,H,H,N,N,Durable,55,50,50,55,50,50,50,50,65,50,55,55,55,50,50,55,-,-,2,30,40
38683,CL,THOMAS NEWALL,CIN,MLB,26,R,64,68,L,H,N,N,Normal,65,55,55,45,65,55,55,45,65,55,55,45,65,55,55,50,-,-,2,25,35
37182,SP,PACO SÁNCHEZ,CWS,MLB,26,R,64,64,H,N,N,H,Normal,50,55,55,50,50,55,55,45,50,55,55,50,55,55,55,50,-,-,4,65,70
37785,SP,LUKÁS ZAJAC,HOU,MLB,25,L,64,66,N,L,L,L,Fragile,50,45,50,55,55,45,50,60,50,45,50,55,50,45,50,55,-,-,4,65,60
38458,RP,CLINT BREVOORT,MIN,MLB,24,R,63,63,N,N,N,N,Normal,55,50,50,55,55,50,50,55,55,50,50,55,55,50,50,55,-,-,2,25,75
39644,CL,JAMAL DARSHA,LAD,MLB,25,L,63,63,H,H,H,N,Durable,55,60,50,45,65,65,55,50,55,60,50,45,55,60,50,45,-,-,3,30,75
40671,SP,SALVADOR JIMÉNEZ,NYY,MLB,25,L,63,63,L,H,N,L,Durable,50,55,55,50,50,55,55,55,45,55,55,50,50,55,55,50,-,-,5,50,70
39597,SP,TYLER PONGRATZ,KCR,MLB,23,L,63,63,N,H,H,N,Normal,50,50,55,55,55,50,55,60,50,50,55,55,55,55,55,60,-,-,5,35,80
38257,RP,LEVI TISDALE,STL,MLB,26,L,63,63,N,N,N,N,Fragile,60,45,50,50,60,45,55,50,60,45,50,50,60,45,50,50,-,-,4,50,80
39404,RP,GRAHAM WILKINSON,PIT,MLB,24,R,63,64,N,N,H,N,Fragile,50,50,55,65,45,50,50,55,55,50,55,75,55,50,55,65,-,-,2,30,65
32367,SP,HOWARD ZWEIG,MON,MLB,25,R,63,66,N,H,N,N,Fragile,50,50,50,55,50,50,55,55,50,50,50,55,50,50,50,55,-,-,3,55,35
26919,SP,HERIBERTO BENIQUEZ,CHC,MLB,24,R,62,73,N,H,N,L,Durable,45,50,55,55,45,50,55,55,45,50,55,55,50,50,55,55,-,-,4,55,70
24403,RP,LEE COYNE,MIN,MLB,23,R,62,62,N,N,H,N,Fragile,60,50,50,50,60,50,50,50,60,50,50,50,60,50,50,50,-,-,3,35,55
36042,SP,BENJAMIN FAULK,MIL,MLB,26,L,62,62,N,N,N,H,Normal,50,55,50,55,50,55,50,55,50,55,50,55,50,55,50,55,-,-,4,45,80
41212,RP,LUÍS SÁNCHEZ,WAS,MLB,33,R,62,62,N,H,N,N,Normal,60,50,50,50,55,50,45,45,70,50,50,50,60,50,50,50,-,-,2,35,30
13915,SP,EZEQUIEL TEJEDA,NYM,MLB,24,L,62,62,N,N,H,N,Normal,45,55,55,55,50,55,55,55,45,55,55,55,50,55,55,55,-,-,5,45,75
37712,SP,KIRK BROWDER,STL,AAA,25,R,61,61,N,N,N,N,Fragile,45,60,55,55,45,60,55,55,45,60,55,55,45,60,55,55,-,-,5,45,65
37638,SP,ASH CECE,KCR,MLB,26,R,61,61,N,H,N,N,Durable,50,50,55,55,50,50,55,55,50,50,55,55,50,50,55,55,-,-,5,45,60
34045,RP,ROY GALVEZ,TEX,MLB,25,R,61,61,N,N,H,N,Normal,50,50,50,50,50,50,50,55,50,50,50,50,50,50,50,50,-,-,4,55,60
38105,RP,IAN JOYCE,BAL,MLB,24,R,61,69,N,N,N,N,Normal,55,45,50,55,45,45,45,50,65,45,55,70,70,45,50,65,-,-,2,20,30
36696,RP,LEE SEDDIK,SEA,MLB,25,R,61,61,N,N,N,H,Durable,60,55,50,45,50,50,45,45,70,55,50,50,60,55,50,50,-,-,2,35,55
37993,RP,JACOB VENTURA,ANA,MLB,25,R,61,61,N,H,N,H,Fragile,55,55,50,50,50,55,50,50,55,55,55,55,55,55,50,50,-,-,3,30,45
39173,RP,PABLO ACOSTA,TB,MLB,24,R,60,60,N,H,N,N,Durable,65,45,50,50,60,45,50,50,65,45,50,50,65,45,50,50,-,-,4,25,25
37958,SP,STEVE ADAMS,FLA,MLB,26,L,60,60,N,N,N,N,Normal,55,50,50,50,60,50,55,55,50,50,50,50,55,50,50,50,-,-,3,55,60
33725,RP,RUBEN ALBOR,TB,MLB,25,L,60,60,N,N,L,N,Normal,50,50,50,55,70,55,55,75,45,50,50,50,50,50,50,55,-,-,2,40,60
29714,RP,BRYAN BAER,CLE,MLB,25,R,60,60,N,N,N,N,Fragile,55,60,50,45,55,60,50,45,60,60,50,45,55,65,50,45,-,-,2,25,35
40584,SP,ELDER GALICIA,CLE,MLB,25,R,60,60,N,N,N,L,Fragile,50,50,45,50,50,50,45,50,50,55,45,50,50,50,45,50,-,-,3,50,55
33441,SP,JEFFREY GIRDWOOD,MIL,MLB,26,R,60,60,L,L,L,N,Normal,50,45,55,55,50,45,55,55,50,45,55,55,50,45,55,55,-,-,4,55,80
38836,SP,SHANE GRETZINGER,BOS,MLB,23,R,60,60,N,N,N,N,Normal,45,60,50,55,45,55,50,55,45,60,50,55,45,60,50,55,-,-,3,55,55
39221,SP,MIGEL IRIZARRY,STL,MLB,23,R,60,60,N,N,N,N,Normal,40,70,55,65,35,65,55,60,40,70,55,65,40,70,55,70,-,-,5,55,60
38275,SP,RON LENIHAN,PHI,MLB,26,R,60,60,H,H,H,L,Fragile,55,45,55,50,55,45,50,50,55,45,55,55,60,50,55,50,-,-,5,35,60
37944,RP,EMERSON MURALLES,PHI,MLB,25,R,60,60,N,H,N,H,Fragile,55,45,55,55,50,45,55,55,55,45,55,55,55,45,55,55,-,-,4,55,40
