ID,POS,Name,ORG,Lev,Age,T,OVR,POT,LEA,AD,WE,INT,Prone,STU,CON,PBABIP,HRR,STU vL,CON vL,PBABIP vL,HRR vL,STU vR,CON vR,PBABIP vR,HRR vR,STU P,CON P,PBABIP P,HRR P,KN,KNP,PIT,STM,HLD
39173,RP,PABLO ACOSTA,TB,MLB,24,R,80,80,N,H,N,N,Durable,80,45,50,55,80,45,50,55,80,45,50,55,80,45,50,55,-,-,4,25,25
37958,SP,STEVE ADAMS,FLA,MLB,26,L,80,80,N,N,N,N,Normal,65,55,50,55,75,55,55,65,65,55,50,55,65,55,50,55,-,-,3,55,60
33725,RP,RUBEN ALBOR,TB,MLB,25,L,80,80,N,N,L,N,Normal,60,55,50,70,80,65,55,80,55,55,50,60,65,55,50,70,-,-,2,40,60
23884,RP,ZACH ALMONTE,HOU,MLB,24,R,80,80,N,N,N,N,Normal,75,60,50,55,75,55,50,55,75,60,55,55,75,60,50,65,-,-,3,25,35
32155,SP,JOSE AMAYA,PIT,MLB,23,R,80,80,N,H,H,H,Normal,50,60,50,65,45,60,50,60,50,65,55,70,50,60,50,65,-,-,4,40,35
30201,SP,NEIL AMIDON,BOS,MLB,25,R,80,80,N,N,L,N,Normal,55,45,50,55,55,50,50,60,55,45,50,55,60,45,50,70,-,-,3,60,60
40989,SP,WILFREDO ANDRADE,NYY,MLB,35,R,80,80,H,H,H,H,Durable,50,80,55,55,45,75,55,55,50,80,55,60,50,80,55,55,-,-,3,60,20
37983,RP,JAYSON ARRINGTON,COL,MLB,25,L,80,80,N,L,N,N,Normal,80,55,55,60,80,55,55,60,80,55,55,60,80,55,55,70,-,-,2,25,70
29714,RP,BRYAN BAER,CLE,MLB,25,R,80,80,N,N,N,N,Fragile,75,70,50,50,75,70,50,50,75,75,50,50,75,75,50,50,-,-,2,25,35
39646,RP,ALFONSO BANALES,OAK,MLB,25,R,80,80,N,N,H,N,Normal,75,75,55,65,75,75,55,65,75,75,55,65,75,75,55,65,-,-,2,20,70
26919,SP,HERIBERTO BENIQUEZ,CHC,MLB,24,R,80,80,N,H,N,L,Durable,50,60,55,65,50,60,55,65,50,60,55,65,60,60,55,65,-,-,4,55,70
37579,SP,CLANCY BESSEY,WAS,MLB,23,R,80,80,N,L,L,L,Normal,50,55,55,75,50,55,55,80,50,55,55,75,50,55,55,80,-,-,5,45,35
41117,RP,RUI BI,TOR,MLB,25,L,80,80,N,N,L,N,Fragile,70,50,50,60,80,55,50,65,65,50,50,55,70,50,50,60,-,-,2,30,65
37420,RP,ANTHONY BONNET,DET,MLB,27,L,80,80,L,N,N,N,Durable,80,50,55,50,80,55,60,55,75,50,50,50,80,50,55,60,-,-,4,30,75
38837,RP,MICKEY BRAGG,ATL,MLB,26,R,80,80,N,N,N,H,Normal,75,50,55,55,75,50,50,55,75,50,55,55,75,50,55,55,-,-,4,25,25
41112,SP,FLYNN BRAY,OAK,MLB,35,R,80,80,H,N,H,N,Normal,50,60,55,70,50,60,55,65,50,60,60,70,50,60,55,70,-,-,5,40,60
