ID,POS,Name,ORG,Lev,Age,T,OVR,POT,LEA,AD,WE,INT,Prone,STU,CON,PBABIP,HRR,STU vL,CON vL,PBABIP vL,HRR vL,STU vR,CON vR,PBABIP vR,HRR vR,STU P,CON P,PBABIP P,HRR P,PIT,STM,HLD,BF,1B,2B,3B,HR,BB,IBB,K,HP,SF,CI,SB,CS
39173,CL,PABLO ACOSTA,TB,MLB,24,R,80,80,N,H,N,N,Durable,80,45,50,55,80,45,50,55,80,45,50,55,80,45,50,55,4,25,25,254,37,13,0,5,30,8,72,2,1,0,4,1
41053,SP,LUKAS ADAMS,HOU,MLB,25,L,80,80,N,N,N,N,Fragile,50,60,45,55,50,60,45,55,50,60,45,55,50,60,45,55,3,70,65,326,54,27,2,6,16,3,54,2,3,0,9,2
37958,SP,STEVE ADAMS,FLA,MLB,26,L,80,80,N,N,N,N,Normal,65,55,50,55,75,55,55,65,60,55,50,55,65,55,50,55,3,55,60,953,138,38,6,29,70,0,231,6,3,0,18,3
39642,RP,NATHANAEL ADLER,MIL,MLB,25,L,80,80,L,H,N,N,Fragile,75,45,50,65,80,50,55,80,70,45,50,60,75,45,50,65,2,40,65,292,54,9,2,5,21,1,78,7,2,0,5,1
39663,RP,NATHAN AGUILERA,ARI,MLB,27,R,80,80,L,N,N,N,Durable,65,50,50,50,60,50,50,50,70,50,55,55,80,50,50,60,2,55,40,384,39,16,0,12,36,0,102,5,1,0,14,1
33725,RP,RUBEN ALBOR,TB,MLB,25,L,80,80,N,N,L,N,Normal,55,55,50,65,80,60,55,80,50,55,45,60,65,55,50,65,2,40,65,311,57,8,2,12,21,8,72,2,1,0,5,1
23884,RP,ZACH ALMONTE,HOU,MLB,24,R,80,80,N,N,N,N,Normal,75,55,50,55,75,55,50,55,75,55,55,55,75,55,50,60,3,25,35,214,24,9,0,4,21,0,48,1,1,0,3,2
35621,SP,JUAN ALVARADO,ARI,MLB,29,R,80,80,N,N,L,H,Fragile,60,50,60,50,60,50,60,50,60,50,60,50,80,55,60,50,5,65,70,793,118,31,4,33,72,0,186,11,9,0,13,3
32155,SP,JOSE AMAYA,PIT,MLB,23,R,80,80,N,H,H,H,Normal,50,60,50,65,45,60,50,55,50,65,55,70,50,60,50,65,4,40,35,765,103,34,3,22,45,0,159,3,2,0,24,6
40989,SP,WILFREDO ANDRADE,NYY,MLB,35,R,80,80,H,H,H,H,Durable,45,80,55,60,45,75,55,55,50,80,55,60,45,80,55,60,3,60,20,250,38,11,1,6,14,0,43,5,2,0,8,2
37983,RP,JAYSON ARRINGTON,COL,MLB,25,L,80,80,N,L,N,N,Normal,80,55,55,60,80,55,55,60,80,55,55,60,80,55,55,70,2,25,70,67,7,4,0,2,5,0,21,0,0,0,2,0
29714,RP,BRYAN BAER,CLE,MLB,25,R,80,80,N,N,N,N,Fragile,75,70,50,50,75,70,50,50,80,70,50,50,75,70,50,50,2,25,35,234,31,9,1,7,20,2,61,0,1,0,6,1
38136,SP,OSNIEL BAEZ,KCM,MLB,24,R,80,80,N,N,N,N,Durable,50,50,50,65,45,50,50,60,55,50,50,75,50,50,50,65,4,55,35,839,130,28,5,24,71,0,195,12,2,0,37,6
39646,RP,ALFONSO BANALES,OAK,MLB,25,R,80,80,N,N,H,N,Normal,75,75,55,70,75,75,55,70,75,75,55,70,75,75,55,70,2,20,70,208,31,5,0,7,14,0,65,3,1,0,2,1
25939,SP,BRADY BARKER,OAK,MLB,24,R,80,80,N,N,H,N,Durable,50,55,50,60,50,55,50,60,50,55,50,60,50,55,50,60,3,40,80,421,52,17,1,10,40,0,89,1,1,0,5,3
26919,SP,HERIBERTO BENIQUEZ,CHC,MLB,24,R,80,80,N,H,N,L,Durable,50,55,55,65,50,55,55,65,50,55,55,65,55,55,55,65,4,55,70,896,131,38,2,25,55,0,179,9,9,1,14,4
34798,SP,BROCK BERLINER,NYY,MLB,25,R,80,80,H,N,N,H,Fragile,55,50,50,70,55,50,50,65,60,50,50,70,75,50,50,75,3,35,25,333,51,14,0,10,27,0,52,8,5,0,18,2
37579,SP,CLANCY BESSEY,WAS,MLB,23,R,80,80,N,L,L,L,Normal,50,55,55,75,50,55,55,75,50,55,55,70,50,55,55,80,5,45,35,543,88,37,3,8,52,2,96,2,3,0,18,8
41117,CL,RUI BI,TOR,MLB,25,L,80,80,N,N,L,N,Fragile,70,50,50,60,80,55,50,65,65,50,50,55,70,50,50,60,2,30,65,69,9,5,1,1,1,0,22,0,1,0,1,0
38837,RP,MICKEY BRAGG,ATL,MLB,26,R,80,80,N,N,N,H,Normal,75,50,55,55,70,50,50,55,75,50,55,55,75,50,55,55,4,25,25,305,30,12,0,8,24,0,93,1,1,0,8,1
32328,CL,ZANE BRASCH,ANA,MLB,25,R,80,80,H,H,H,H,Fragile,75,55,50,50,60,50,45,45,80,55,55,55,75,55,50,50,2,30,40,174,20,10,0,6,13,3,60,1,0,0,3,2
41112,SP,FLYNN BRAY,OAK,MLB,34,R,80,80,H,N,H,N,Normal,50,60,60,70,50,60,55,65,50,65,60,70,50,60,60,70,5,40,60,509,73,21,5,11,34,0,117,1,4,1,11,5
38458,RP,CLINT BREVOORT,WAS,MLB,24,R,80,80,N,N,N,N,Normal,65,55,50,65,65,55,50,70,65,55,50,65,65,55,50,65,2,25,75,322,44,8,0,10,25,2,83,5,2,0,4,3
37712,SP,KIRK BROWDER,STL,MLB,25,R,80,80,N,N,N,N,Fragile,50,70,55,70,50,75,55,70,50,70,55,65,50,70,55,70,5,40,65,213,31,15,2,9,8,0,46,0,2,0,7,0
35392,SP,RUBY BUCKLEY,BOS,MLB,25,L,80,80,L,L,L,N,Normal,50,45,55,75,50,45,55,80,50,45,55,75,55,45,55,80,4,45,60,678,101,23,1,14,63,0,151,2,0,0,12,4
36821,RP,HECTOR CABRERA,WAS,AAA,23,L,80,80,N,H,H,L,Durable,80,50,50,50,80,50,55,55,75,50,50,50,80,60,50,50,2,30,70,0,0,0,0,0,0,0,0,0,0,0,0,0
24149,RP,LUÍS CALVES,ANA,MLB,24,R,80,80,N,N,N,L,Fragile,80,45,50,80,75,45,45,75,80,45,50,80,80,45,50,80,2,35,70,300,53,12,1,4,49,6,78,7,3,0,5,1
40986,SP,MACERIO CARMONA,COL,MLB,27,R,80,80,N,H,H,L,Fragile,55,70,60,65,55,70,60,65,55,70,60,65,60,70,60,70,5,60,35,314,49,14,1,21,23,0,74,0,2,0,12,3
37557,SP,CARTER CARPENTER,KCM,MLB,26,R,80,80,L,N,L,N,Fragile,50,50,55,70,50,50,55,70,50,50,55,70,70,50,55,75,4,50,55,646,88,18,4,12,69,0,134,2,6,0,23,5
33529,SP,DEREK CARPOZA,KCR,MLB,25,R,80,80,L,H,N,N,Normal,50,55,55,65,50,55,50,65,50,55,55,70,55,55,55,65,4,50,35,711,105,29,3,20,64,0,149,3,5,0,27,6
31440,SP,STAR CARRANZA,BOS,MLB,24,L,80,80,L,N,H,N,Fragile,55,55,50,65,55,55,50,70,55,55,50,65,55,55,50,65,3,45,75,591,84,31,2,23,52,0,114,7,3,0,10,2
37638,SP,ASH CECE,KCR,MLB,26,R,80,80,N,H,N,N,Durable,55,55,55,70,55,55,55,65,55,55,55,70,55,55,55,70,5,45,55,847,135,41,2,22,58,0,178,3,2,0,23,5
13944,RP,ERIK CEDEÑO,HOU,MLB,24,R,80,80,N,N,H,H,Normal,60,55,50,65,50,50,45,60,70,55,50,70,75,55,50,65,2,25,40,208,34,11,2,4,18,2,47,1,0,0,6,3
30623,CL,CHENG-KUN CHOI,STL,MLB,24,R,80,80,L,N,N,N,Fragile,65,75,55,65,60,75,55,60,70,75,60,70,65,75,55,65,3,30,50,325,34,22,4,3,16,0,79,1,3,0,1,0
38258,SP,CHIEH-JUI CHU,ATL,MLB,25,R,80,80,N,N,N,N,Normal,60,80,65,70,60,80,65,70,60,80,65,75,60,80,65,70,4,55,45,867,124,29,5,28,32,0,213,11,2,1,23,3
29652,RP,WALTON CLEMONS,HOU,MLB,25,R,80,80,H,N,H,L,Fragile,80,60,50,55,80,60,50,50,80,60,55,55,80,60,50,55,2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0
31425,SP,ANTÓNIO CORBELLI,COL,MLB,25,R,80,80,N,H,N,N,Normal,50,60,50,55,50,60,50,55,50,60,50,55,50,60,50,55,4,50,55,695,91,38,7,25,52,0,124,4,4,0,14,8
38309,SP,SIMÓN CORONEL,SF,MLB,25,R,80,80,N,N,H,L,Normal,50,55,50,60,50,55,50,60,50,55,50,60,55,55,50,60,4,50,55,189,32,3,0,5,24,2,25,2,1,0,5,1
27301,RP,JOSH DAO,CLE,MLB,23,R,80,80,N,H,H,H,Normal,55,60,55,60,55,55,50,55,65,60,55,65,55,60,55,60,2,25,45,251,26,13,0,7,22,4,61,2,3,0,1,0
