id,player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,ubr,war
31624,20429,2057,46,0,144,1,1,0,59,8,15,63,206,24,14,4,0,0,5,3,1,0,2,0,4,0,0,2,0,-0.7776,0,0.3282,-0.3907
31626,20429,2057,46,0,144,1,2,0,30,5,6,34,0,15,9,2,0,0,3,1,0,0,2,0,3,0,0,2,0,0.0,0,0.0,0.0
31621,20429,2057,46,0,144,1,3,0,29,3,9,29,0,14,5,2,0,0,2,2,0,0,0,0,1,0,0,0,0,0.0,0,0.0,0.0
31619,20429,2057,46,0,144,1,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
39958,20678,2057,53,0,144,1,1,0,61,10,20,70,270,22,17,1,0,1,5,8,4,0,6,0,1,1,2,0,0,0.012,0,0.1084,-0.1417
39969,20678,2057,53,0,144,1,2,0,22,5,8,25,0,10,6,1,0,0,0,3,0,0,2,0,1,0,1,0,0,0.0,0,0.0,0.0
39966,20678,2057,53,0,144,1,3,0,39,5,12,45,0,15,11,0,0,1,5,5,0,0,4,0,0,1,1,0,0,0.0,0,0.0,0.0
61716,21200,2057,42,0,144,1,1,0,494,114,125,553,2191,140,138,12,1,36,83,83,16,3,46,0,9,4,4,5,0,0.437,0,2.5181,2.2269
61718,21200,2057,42,0,144,1,2,0,145,39,33,159,0,72,39,5,1,13,24,27,0,0,12,0,2,1,0,1,0,0.0,0,0.0,0.0
61717,21200,2057,42,0,144,1,3,0,349,75,92,394,0,132,97,7,0,23,59,56,0,0,34,0,7,3,4,4,0,0.0,0,0.0,0.0
65772,21295,2057,60,0,144,1,1,0,232,57,73,267,1205,64,64,15,2,15,38,35,0,0,25,1,5,0,1,9,0,0.9599,0,-1.1833,2.3872
65776,21295,2057,60,0,144,1,2,0,52,14,15,64,0,29,14,6,0,4,12,10,0,0,11,1,1,0,0,1,0,0.0,0,0.0,0.0
65774,21295,2057,60,0,144,1,3,0,180,43,58,203,0,60,50,9,2,11,26,25,0,0,14,0,4,0,1,8,0,0.0,0,0.0,0.0
65782,21295,2057,60,0,144,1,21,0,76,14,25,88,392,20,20,1,0,0,9,4,0,0,9,0,4,0,0,3,0,-0.5928,0,-0.2737,0.0
67197,21327,2057,43,0,144,1,1,0,230,67,40,256,1030,78,58,17,2,3,30,25,1,1,26,1,6,0,0,0,0,0.3725,0,0.978,1.0151
67200,21327,2057,43,0,144,1,2,0,56,18,9,62,0,38,12,4,1,0,7,7,0,0,6,1,2,0,0,0,0,0.0,0,0.0,0.0
67202,21327,2057,43,0,144,1,3,0,174,49,31,194,0,64,46,13,1,3,23,18,0,0,20,0,4,0,0,0,0,0.0,0,0.0,0.0
67206,21327,2057,43,0,144,1,21,0,10,2,3,12,49,2,2,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0.152,0,0.4354,0.0
75884,21548,2057,46,0,144,1,1,0,438,83,177,511,2214,133,125,14,1,23,57,58,21,4,67,8,6,0,1,5,0,-0.6214,0,0.3976,0.4245
75886,21548,2057,46,0,144,1,2,0,107,25,45,116,0,59,22,7,0,2,12,13,0,0,8,0,2,0,0,1,0,0.0,0,0.0,0.0
75885,21548,2057,46,0,144,1,3,0,331,58,132,395,0,124,103,7,1,21,45,45,0,0,59,8,4,0,1,4,0,0.0,0,0.0,0.0
75888,21548,2057,46,0,144,1,21,0,53,11,24,56,242,14,14,4,0,2,5,5,3,0,2,1,0,0,0,1,0,-0.2095,0,0.0,0.0
84136,21697,2057,53,0,144,1,1,0,550,155,77,656,2768,157,154,33,0,24,93,101,2,1,93,4,5,0,8,5,0,3.8923,0,-1.8518,4.5511
84145,21697,2057,53,0,144,1,2,0,154,34,24,178,0,79,41,7,0,3,18,17,0,0,20,0,1,0,2,2,0,0.0,0,0.0,0.0
84142,21697,2057,53,0,144,1,3,0,396,121,53,478,0,143,113,26,0,21,75,84,0,0,73,4,4,0,6,3,0,0.0,0,0.0,0.0
88313,21799,2057,37,0,144,1,1,0,317,74,75,341,1140,105,75,20,2,4,33,24,24,8,19,0,9,1,1,3,0,-1.9563,0,2.6751,-0.0904
88316,21799,2057,37,0,144,1,2,0,150,43,34,161,0,70,42,16,1,3,21,12,0,0,9,0,4,1,0,1,0,0.0,0,0.0,0.0
88319,21799,2057,37,0,144,1,3,0,167,31,41,180,0,77,33,4,1,1,12,12,0,0,10,0,5,0,1,2,0,0.0,0,0.0,0.0
116702,22338,2057,43,0,144,1,1,0,93,25,16,104,377,49,19,6,0,3,11,19,0,1,9,0,3,0,1,1,0,0.0736,0,-0.6234,0.2814
116708,22338,2057,43,0,144,1,2,0,16,3,4,16,0,8,5,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0.0,0,0.0,0.0
116705,22338,2057,43,0,144,1,3,0,77,22,12,88,0,43,13,6,0,3,10,17,0,0,9,0,2,0,1,1,0,0.0,0,0.0,0.0
116714,22338,2057,43,0,144,1,21,0,6,0,2,6,20,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1317,0,0.0,0.0
122093,22427,2057,55,0,144,1,1,0,117,26,32,145,622,41,40,5,0,3,13,12,2,1,22,0,0,0,3,3,0,-0.0788,0,-0.5417,0.7403
122099,22427,2057,55,0,144,1,2,0,32,8,7,41,0,19,13,1,0,2,7,6,0,0,7,0,0,0,1,1,0,0.0,0,0.0,0.0
122096,22427,2057,55,0,144,1,3,0,85,18,25,104,0,31,27,4,0,1,6,6,0,0,15,0,0,0,2,2,0,0.0,0,0.0,0.0
127576,22514,2057,35,0,144,1,1,0,537,133,167,617,2632,146,142,30,4,14,72,53,49,12,60,0,7,6,3,11,0,0.8321,0,0.8864,3.8534
127566,22514,2057,35,0,144,1,2,0,149,42,44,172,0,70,35,15,1,4,22,17,0,0,18,0,1,2,1,2,0,0.0,0,0.0,0.0
127554,22514,2057,35,0,144,1,3,0,388,91,123,445,0,133,107,15,3,10,50,36,0,0,42,0,6,4,2,9,0,0.0,0,0.0,0.0
127569,22514,2057,35,0,144,1,21,0,8,1,2,11,42,3,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,-0.1268,0,0.0,0.0
128563,22539,2057,37,0,144,1,1,0,47,10,10,50,147,13,11,4,0,0,7,4,2,2,2,0,0,0,0,1,0,-0.1382,0,0.0561,-0.1797
128560,22539,2057,37,0,144,1,2,0,8,2,2,9,0,4,2,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0.0
128555,22539,2057,37,0,144,1,3,0,39,8,8,41,0,11,9,4,0,0,6,2,0,0,2,0,0,0,0,0,0,0.0,0,0.0,0.0
145496,22844,2057,49,0,144,1,1,0,391,68,124,433,1696,125,123,10,0,5,24,24,0,0,34,0,7,3,1,4,0,-4.4743,0,-1.6429,0.0962
145500,22844,2057,49,0,144,1,2,0,103,21,31,114,0,58,32,3,0,0,6,5,0,0,9,0,1,1,0,1,0,0.0,0,0.0,0.0
145498,22844,2057,49,0,144,1,3,0,288,47,93,319,0,113,91,7,0,5,18,19,0,0,25,0,6,2,1,3,0,0.0,0,0.0,0.0
147300,22879,2057,57,0,144,1,1,0,269,67,54,308,1147,76,75,8,0,6,30,30,0,1,38,1,11,0,1,0,0,-0.4703,0,-0.4086,1.0404
147298,22879,2057,57,0,144,1,2,0,28,8,6,32,0,25,0,2,0,0,5,5,0,0,4,0,2,0,0,0,0,0.0,0,0.0,0.0
