id,player_id,year,team_id,league_id,level_id,split_id,position,tc,a,po,er,ip,g,gs,e,dp,tp,pb,sba,rto,ipf,plays,plays_base,roe,opps_0,opps_made_0,opps_1,opps_made_1,opps_2,opps_made_2,opps_3,opps_made_3,opps_4,opps_made_4,opps_5,opps_made_5,framing,arm,zr
26730,14794,2057,51,144,1,0,1,28,16,12,0,167,31,31,0,1,0,0,15,2,1,18,18,0,12,11,4,4,4,4,0,0,2,0,0,0,1.755,0.0,0.1508
27231,14814,2057,60,144,1,0,1,5,3,2,0,41,19,0,0,0,0,0,3,0,1,3,3,0,3,2,1,1,0,0,0,0,0,0,0,0,0.945,0.0,-0.3342
27799,14870,2057,46,144,1,0,1,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.0,0.0
31383,14983,2057,60,144,1,0,1,4,2,2,0,60,39,0,0,0,0,0,5,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.135,0.0,0.0415
32934,15020,2057,47,144,1,0,1,3,1,2,0,25,18,0,0,1,0,0,0,0,2,1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0.135,0.0,-0.2483
39401,15275,2057,35,144,1,0,1,13,6,7,0,158,29,27,0,0,0,0,22,7,1,8,7,0,9,6,2,2,2,1,0,0,0,0,0,0,-0.405,0.0,0.7963
66489,16559,2057,52,144,1,0,1,9,7,0,0,100,63,0,2,0,0,0,9,2,2,9,9,2,6,4,2,1,2,2,0,0,0,0,0,0,-0.0,0.0,-0.746
69819,16699,2057,33,144,1,0,1,7,5,2,0,72,50,0,0,2,0,0,14,1,0,4,4,0,2,2,1,1,1,1,0,0,0,0,0,0,0.54,0.0,-0.8011
104866,18466,2057,57,144,1,0,1,17,9,7,0,94,20,14,1,1,0,0,12,1,1,11,11,1,9,9,2,1,0,0,0,0,0,0,0,0,0.81,0.0,-0.8373
118879,18850,2057,54,144,1,0,1,22,8,12,0,174,31,31,2,0,0,0,13,3,0,10,10,2,9,8,3,1,1,0,0,0,0,0,0,0,0.0,0.0,-0.6552
131930,19289,2057,55,144,1,0,1,6,2,3,0,72,55,0,1,0,0,0,14,2,2,4,4,1,4,3,1,0,0,0,0,0,0,0,0,0,1.08,0.0,-1.1034
152526,20401,2057,46,144,1,0,1,5,2,3,0,33,22,0,0,0,0,0,2,0,1,2,3,0,4,3,0,0,0,0,0,0,0,0,0,0,-0.135,0.0,-0.534
153881,20429,2057,46,144,1,0,7,21,0,20,0,110,17,9,1,0,0,0,0,0,1,19,19,1,13,12,4,4,1,1,5,2,2,1,7,0,0.0,-0.1148,0.5764
153888,20429,2057,46,144,1,0,8,10,0,10,0,28,5,3,0,0,0,0,0,0,0,10,10,0,4,4,4,4,1,1,2,1,0,0,4,0,0.0,-0.0206,0.2333
153896,20429,2057,46,144,1,0,9,5,0,5,0,17,2,2,0,0,0,0,0,0,0,5,5,0,5,5,0,0,0,0,0,0,2,0,1,0,0.0,0.0008,-0.0081
155002,20451,2057,33,144,1,0,1,22,12,9,0,144,32,27,1,1,0,0,16,6,2,12,10,1,9,9,4,2,1,0,1,1,0,0,0,0,0.54,0.0,1.527
