id,player_id,year,team_id,league_id,level_id,split_id,position,tc,a,po,er,ip,g,gs,e,dp,tp,pb,sba,rto,ipf,plays,plays_base,roe,opps_0,opps_made_0,opps_1,opps_made_1,opps_2,opps_made_2,opps_3,opps_made_3,opps_4,opps_made_4,opps_5,opps_made_5,framing,arm,zr
121409,3962,2044,1631,100,1,0,2,353,18,334,171,352,42,38,1,3,0,3,30,6,1,6,4,0,9,9,1,1,3,2,1,1,0,0,0,0,1.485,0.0,0.906
121412,3962,2044,1631,100,1,0,3,4,0,3,0,3,2,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0193
8998,5900,2044,34,100,1,0,5,246,169,64,0,887,104,102,13,18,0,0,0,0,2,203,199,13,168,158,43,36,22,16,19,8,23,4,3,0,0.0,0.0,-2.487
9001,5900,2044,34,100,1,0,9,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
53213,7111,2044,8,100,1,0,2,894,47,841,392,977,112,108,6,1,0,3,110,25,1,13,10,1,20,19,5,5,8,7,0,0,0,0,0,0,6.21,0.0,2.4218
117059,8974,2044,21,100,1,0,1,20,13,6,0,209,33,33,1,1,0,0,11,4,0,11,12,0,11,10,2,1,1,0,0,0,0,0,0,0,1.08,0.0,1.0268
131057,9380,2044,25,100,1,0,2,507,27,478,253,507,59,57,2,3,0,3,58,10,1,5,7,0,10,8,3,3,4,2,0,0,1,0,0,0,-2.97,0.0,-1.5815
131061,9380,2044,25,100,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
131059,9380,2044,25,100,1,0,9,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
193917,11292,2044,11,100,1,0,2,1124,74,1049,535,1074,121,121,1,6,0,9,112,33,0,19,15,0,28,28,8,8,8,8,0,0,0,0,0,0,7.83,0.0,4.5918
255334,13001,2044,25,100,1,0,7,85,4,80,0,429,51,49,1,0,0,0,0,0,1,80,79,1,65,63,8,8,7,3,12,3,19,3,26,0,0.0,0.438,0.7621
263619,13204,2044,32,100,1,0,3,296,16,279,0,310,40,34,1,21,0,0,0,0,0,49,47,1,53,51,3,3,4,3,3,2,1,0,1,0,0.0,0.0,1.3867
263625,13204,2044,32,100,1,0,9,12,0,11,0,52,7,6,1,0,0,0,0,0,2,10,9,0,7,7,2,2,1,1,2,0,4,1,1,0,0.0,-0.2214,0.6867
279236,13596,2044,13,100,1,0,9,52,0,51,0,255,28,28,1,0,0,0,0,0,2,50,46,0,41,41,7,6,4,1,13,3,13,0,17,0,0.0,4.2496,0.746
