id,player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,sd,md,war,ra9war
9603,8974,2044,21,0,100,1,1,209,803,0,196,157,872,92,47,89,76,189,253,3217,0,33,33,11,7,0,129,34,2,4,7,26,1,1,0,6,15,0,15,22,0,0,0,0,0,7,4,0,0.0,0.0,0.8822,890.9998,0,627,0,0,1.9497,3.438
9608,8974,2044,21,0,100,1,2,94,355,0,85,73,385,33,20,41,33,84,111,0,1,33,33,0,0,0,56,13,0,3,2,14,1,0,0,3,7,0,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,401.4998,0,283,0,0,0.0,0.0
9606,8974,2044,21,0,100,1,3,114,448,0,111,84,487,59,27,48,43,105,142,0,2,33,33,0,0,0,73,21,2,1,5,12,0,1,0,3,8,0,8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,489.4997,0,344,0,0,0.0,0.0
190033,13730,2044,17,0,100,1,1,59,226,0,63,47,277,26,46,52,50,48,68,1086,0,14,14,2,6,0,38,13,0,3,1,11,1,0,0,3,2,0,11,1,0,0,0,0,0,1,1,0,0.0,0.0,-2.0431,266.9,0,177,0,0,-0.3561,-0.7989
190039,13730,2044,17,0,100,1,2,11,41,0,7,14,50,4,7,9,8,7,12,0,1,11,11,0,0,0,5,2,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,51.5,0,34,0,0,0.0,0.0
190041,13730,2044,17,0,100,1,3,47,185,0,56,33,227,22,39,43,42,41,56,0,2,14,14,0,0,0,33,11,0,2,1,11,1,0,0,1,1,0,11,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,215.4,0,143,0,0,0.0,0.0
193731,13801,2044,26,0,100,1,1,0,3,0,1,1,6,0,3,2,2,0,1,29,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,1.7,0,2,0,0,-0.0672,-0.1444
193734,13801,2044,26,0,100,1,2,0,1,0,1,0,3,0,2,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.8,0,0,0,0,0.0,0.0
193743,13801,2044,26,0,100,1,3,0,2,0,0,1,3,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.9,0,2,0,0,0.0,0.0
198695,13915,2044,30,0,100,1,1,177,673,0,163,148,731,126,48,73,71,185,176,2639,0,31,31,12,5,0,90,50,3,2,3,20,0,0,0,3,5,0,15,15,0,0,0,1,1,10,3,0,0.0,0.0,0.6617,690.9006,0,531,0,0,4.0152,5.6828
