pull_id,league,real_date,real_ts,source,source_files,n_players,content_hash,ingested_at
1,BLM,2026-05-31,2026-05-31T23:39:06,bak,"[""tgs-viz\\public\\data\\BLM\\hitters.json.bak-20260616-082738"", ""tgs-viz\\public\\data\\BLM\\pitchers.json.bak-20260616-082738""]",12486,0f4e51287ce162add4498e88915bced33584ec7e,2026-08-05T18:41:55
2,BLM,2026-06-16,2026-06-16T08:27:39,bak,"[""tgs-viz\\public\\data\\BLM\\hitters.json.bak-20260620-093045"", ""tgs-viz\\public\\data\\BLM\\pitchers.json.bak-20260620-093046""]",13700,ce8be9c74af08365ad66eb3e2c9925d8999ec7a6,2026-08-05T18:41:56
3,BLM,2026-06-20,2026-06-20T09:30:46,bak,"[""tgs-viz\\public\\data\\BLM\\hitters.json.bak-20260621-162652"", ""tgs-viz\\public\\data\\BLM\\pitchers.json.bak-20260621-162653""]",13587,13266d243e5860eb83745236a8e6771a316b9452,2026-08-05T18:41:57
4,BLM,2026-06-23,2026-06-23T19:13:25,bak,"[""tgs-viz\\public\\data\\BLM\\hitters.json.bak-20260709-152430"", ""tgs-viz\\public\\data\\BLM\\pitchers.json.bak-20260709-152430""]",13612,d0dcd856f781c651004b04a02dd0ea874e7f5025,2026-08-05T18:42:00
5,BLM,2026-07-09,2026-07-09T15:24:31,bak,"[""tgs-viz\\public\\data\\BLM\\hitters.json.bak-20260713-102059"", ""tgs-viz\\public\\data\\BLM\\pitchers.json.bak-20260713-102059""]",12887,a280e17f40d5ba4bd78fd8cd86a82985ef946a2a,2026-08-05T18:42:01
6,BLM,2026-07-13,2026-07-13T16:30:36,bak,"[""tgs-viz\\public\\data\\BLM\\hitters.json.bak-20260720-170235"", ""tgs-viz\\public\\data\\BLM\\pitchers.json.bak-20260720-170236""]",12924,b85c3e1ba4d329e72c4bf7ec58b4840dae69e4c0,2026-08-05T18:42:02
7,BLM,2026-07-20,2026-07-20T17:02:36,bak,"[""tgs-viz\\public\\data\\BLM\\hitters.json.bak-20260728-153505"", ""tgs-viz\\public\\data\\BLM\\pitchers.json.bak-20260728-153506""]",13043,663f147e2f52150cbac0cb98599b331717d570fe,2026-08-05T18:42:03
8,BLM,2026-07-28,2026-07-28T16:52:12,bak,"[""tgs-viz\\public\\data\\BLM\\hitters.json.bak-20260731-135926"", ""tgs-viz\\public\\data\\BLM\\pitchers.json.bak-20260731-135927""]",13794,5bd6e38cdc468b0e35e836370ad86d4f4deb1b7e,2026-08-05T18:42:05
9,BLM,2026-07-31,2026-07-31T13:59:00,history,"[""tgs-viz\\ingest\\.cache\\history\\statsplus_blm_20260731-1359.json""]",13809,11b0980a5e21035a4dbed237af73cdc2352f3f02,2026-08-05T18:42:06
30,BLM,2026-08-07,2026-08-07T15:24:13,live,"[""tgs-viz\\ingest\\.cache\\history\\statsplus_blm_20260807-1524.json""]",13876,1a08b35256181d9a1de43546fa52a73029a3a380,2026-08-07T15:24:13
32,BLM,2026-08-08,2026-08-08T09:51:01,live,"[""tgs-viz\\ingest\\.cache\\history\\statsplus_blm_20260808-0951.json""]",13892,7ab1890d98e34ef71b3ad1df2389831ee627b76f,2026-08-08T09:51:02
34,BLM,2026-08-10,2026-08-10T16:00:49,live,"[""tgs-viz\\ingest\\.cache\\history\\statsplus_blm_20260810-1600.json""]",13907,87a1f6cad0b36937c2e3cd36108f9e353f1fa567,2026-08-10T16:00:49
35,BLM,2026-08-11,2026-08-11T17:24:02,live,"[""tgs-viz\\ingest\\.cache\\history\\statsplus_blm_20260811-1724.json""]",13926,38a1760263f7e8a562c708ea79ceaebc102da2c3,2026-08-11T17:24:03
